 132 A131             -4.37597E+03 -6.71419E+04  2.90000E+03
 133 A132              1.72858E+03 -3.73704E+04  2.90000E+03
 134 A133              6.82055E+03  1.42922E+04  2.90000E+03
 135 A134              7.91713E+03  5.75826E+04  2.90000E+03
 136 A135              4.37597E+03  6.71419E+04  2.90000E+03
 137 A136             -1.83026E+03  3.95687E+04  2.90000E+03
 138 A137             -7.22176E+03 -1.51329E+04  2.90000E+03
 139 A138             -8.38285E+03 -6.09698E+04  2.90000E+03
 140 A139             -4.63338E+03 -7.10914E+04  2.90000E+03
 141 A140              1.83026E+03 -3.95687E+04  2.90000E+03
 142 A141              7.22176E+03  1.51329E+04  2.90000E+03
 143 A142              8.38285E+03  6.09698E+04  2.90000E+03
 144 A143              4.63338E+03  7.10914E+04  2.90000E+03
 145 A144             -1.93194E+03  4.17669E+04  2.90000E+03
 146 A145             -7.62297E+03 -1.59736E+04  2.90000E+03
 147 A146             -8.84856E+03 -6.43570E+04  2.90000E+03
 148 A147             -4.89079E+03 -7.50409E+04  2.90000E+03
 149 A148              1.93194E+03 -4.17669E+04  2.90000E+03
 150 A149              7.62297E+03  1.59736E+04  2.90000E+03
 151 A150              8.84856E+03  6.43570E+04  2.90000E+03
 152 A151              4.89079E+03  7.50409E+04  2.90000E+03
 153 A152             -2.03362E+03  4.39652E+04  2.90000E+03
 154 A153             -8.02418E+03 -1.68143E+04  2.90000E+03
 155 A154             -9.31427E+03 -6.77442E+04  2.90000E+03
 156 A155             -5.14820E+03 -7.89905E+04  2.90000E+03
 157 A156              2.03362E+03 -4.39652E+04  2.90000E+03
 158 A157              8.02418E+03  1.68143E+04  2.90000E+03
 159 A158              9.31427E+03  6.77442E+04  2.90000E+03
 160 A159              5.14820E+03  7.89905E+04  2.90000E+03
 161 CrossCheckA160   -1.05786E+03 -1.90283E+04  2.90000E+03
 162 CrossCheckA161   -6.05297E+03 -1.93238E+04  2.90000E+03
 163 CrossCheckA162    1.21969E+03 -2.80127E+04  2.90000E+03
 164 CrossCheckA163    5.44995E+03  5.57635E+04  2.90000E+03
 165 CrossCheckA164    4.69795E+03  3.13981E+04  2.90000E+03
 166 CrossCheckA165    9.20326E+03  5.07272E+04  2.90000E+03
 167 CrossCheckA166   -8.56191E+03 -7.02965E+04  2.90000E+03
 168 CrossCheckA167    2.57018E+03  1.76868E+04  2.90000E+03
 169 CrossCheckA168   -2.01489E+03 -8.07294E+03  2.90000E+03
 170 CrossCheckA169   -5.46810E+03 -3.25681E+04  2.90000E+03
 171 CrossCheckA170   -1.93667E+03 -6.11932E+04  2.90000E+03
 172 CrossCheckA171   -1.74087E+03  3.35728E+04  2.90000E+03
 173 CrossCheckA172   -1.89083E+03 -3.86851E+04  2.90000E+03
 174 CrossCheckA173    3.33581E+03  3.44889E+04  2.90000E+03
 175 CrossCheckA174   -5.30160E+03 -1.07587E+03  2.90000E+03
 176 CrossCheckA175   -2.50659E+03  3.12770E+04  2.90000E+03
